127.0.0.1 - - [01/Dec/2017:11:28:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:47 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:47 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:47 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:48 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:54 +0530] "GET /Ecom_frontend/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:55 +0530] "GET /Ecom_frontend/login HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:28:59 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:29:00 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:29:00 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:29:03 +0530] "GET /Ecom_frontend/reg HTTP/1.1" 200 9107
0:0:0:0:0:0:0:1 - - [01/Dec/2017:11:29:03 +0530] "GET /Ecom_frontend/.resources/css/registerpage.css HTTP/1.1" 404 1084
