0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:55 +0530] "GET /Ecom_frontend/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:56 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:58 +0530] "GET /Ecom_frontend/login HTTP/1.1" 200 11033
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:58 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:58 +0530] "GET /Ecom_frontend/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:02 +0530] "GET /Ecom_frontend/reg HTTP/1.1" 200 11254
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:02 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:02 +0530] "GET /Ecom_frontend/.resources/css/registerpage.css HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:02 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:02 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
