127.0.0.1 - - [23/Dec/2017:10:43:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 9201
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:51 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:52 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:52 +0530] "GET /Ecom_frontend/resources/images/img1.jpg HTTP/1.1" 200 309429
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:52 +0530] "GET /Ecom_frontend/resources/images/PULSER%20NO1.jpg HTTP/1.1" 200 191256
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:52 +0530] "GET /Ecom_frontend/resources/images/hondamotogppedrosa12.jpg HTTP/1.1" 200 126052
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:55 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:43:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/admin/add1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/login HTTP/1.1" 200 11232
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:03 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:12 +0530] "POST /Ecom_frontend/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 9015
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/images/img1.jpg HTTP/1.1" 200 309429
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/images/PULSER%20NO1.jpg HTTP/1.1" 200 191256
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/images/hondamotogppedrosa12.jpg HTTP/1.1" 200 126052
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:13 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/add1 HTTP/1.1" 200 5880
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/ss.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.min.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/ss.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:15 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.min.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:16 +0530] "GET /Ecom_frontend/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:16 +0530] "GET /Ecom_frontend/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:29 +0530] "POST /Ecom_frontend/admin/category HTTP/1.1" 200 10539
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.min.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/css/ss.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/css/datatables.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:32 +0530] "GET /Ecom_frontend/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [23/Dec/2017:10:44:36 +0530] "GET /Ecom_frontend/admin/categorylist HTTP/1.1" 200 11839
